node,t,dlmp_signal,spot_eur_mwh,adder_signal
16,53,85.42545668313353,35.22,50.205456683133534
16,54,85.42545668163513,35.22,50.20545668163513
16,55,85.42545668295944,35.22,50.205456682959436
16,56,85.1254566833014,34.92,50.20545668330139
16,57,85.12545668198314,34.92,50.20545668198314
16,58,86.69254736193602,34.92,51.77254736193602
16,59,448.28307647168737,34.92,413.36307647168735
16,60,338.309442081696,34.76,303.549442081696
16,61,1170.9640120189142,34.76,1136.2040120189142
16,62,99.96938487658679,34.76,65.2093848765868
16,63,3594.5728474759885,34.76,3559.8128474759883
16,64,96.65860206519088,40.47,56.18860206519088
16,65,95.82173271908806,40.47,55.35173271908806
16,66,110.53988524688536,40.47,70.06988524688536
16,67,95.20059884504798,40.47,54.73059884504798
16,68,107.1065529931932,48.01,59.09655299319321
16,69,103.01595660712601,48.01,55.005956607126016
16,70,103.32831037119809,48.01,55.31831037119809
16,71,132.72917521024556,48.01,84.71917521024557
16,72,104.98478580399134,51.61,53.374785803991344
16,73,114.70439342667984,51.61,63.094393426679844
16,74,123.6106684915547,51.61,72.0006684915547
16,75,105.84971972312951,51.61,54.23971972312951
16,76,99.07188509337348,47.16,51.911885093373485
16,77,101.28576039606459,47.16,54.12576039606459
16,78,137.13908354500285,47.16,89.97908354500285
16,79,102.86483660898782,47.16,55.70483660898782
16,80,87.33545668934192,37.13,50.20545668934192
16,81,87.33545669019563,37.13,50.205456690195625
16,82,87.33545669112607,37.13,50.20545669112607
16,83,87.33545669200683,37.13,50.20545669200683
16,84,87.91556214415218,34.69,53.22556214415218
16,85,365.1165547063011,34.69,330.4265547063011
16,86,84.89545669555332,34.69,50.20545669555332
16,87,84.89545669752577,34.69,50.205456697525776
16,88,82.00545669937122,31.8,50.205456699371226
16,89,82.00545670156171,31.8,50.205456701561715
16,90,82.00545670396069,31.8,50.20545670396069
16,91,82.00545670688614,31.8,50.20545670688614
16,92,1926.2819638510027,26.21,1900.0719638510027
16,93,1903.44812336462,26.21,1877.23812336462
16,94,4045.5691572983465,26.21,4019.3591572983464
16,95,2277.547667781052,26.21,2251.337667781052
20,0,4076.7637807579063,31.0,4045.7637807579063
20,1,2138.471751677461,31.0,2107.471751677461
20,2,2042.7270878412558,31.0,2011.7270878412558
20,3,2140.1161373182476,31.0,2109.1161373182476
20,4,31.48531939975675,30.94,0.5453193997567496
20,5,2629.6164327539714,30.94,2598.6764327539713
20,6,1414.1274543856705,30.94,1383.1874543856704
20,7,1767.8368146218056,30.94,1736.8968146218056
20,8,175.90427042880415,31.32,144.58427042880416
20,9,175.90427042930372,31.32,144.58427042930373
20,10,175.9042704286485,31.32,144.5842704286485
20,11,175.90427042860017,31.32,144.58427042860018
20,12,2333.2034169953636,29.03,2304.1734169953634
20,13,1814.9310778683366,29.03,1785.9010778683366
20,14,29.57505535417402,29.03,0.5450553541740177
20,15,1532.8831436709504,29.03,1503.8531436709504
20,16,1183.0686718038828,28.2,1154.8686718038828
20,17,1509.5746951717474,28.2,1481.3746951717474
